id;codeTypePieceIdentite;DATE_OBTENTION;codePostal
1378074;1;24/04/02;2080
28443;1;17/07/82;1110
886858;1;07/03/83;1068
1091556;1;29/06/82;
894479;1;27/04/83;2052
180741;1;01/12/82;1013
378155;1;28/07/82;1009
892470;1;14/06/82;2011
49171;1;15/11/82;0
266557;1;03/11/82;2080
171943;1;11/12/82;2041
1015649;1;19/02/86;2010
260558;1;25/02/86;2010
402927;1;10/02/86;7000
943542;1;02/01/86;2083
502209;1;31/10/06;2086
289680;1;19/02/07;1095
1360067;1;25/06/07;1002
1024777;1;27/04/06;2016
538716;1;14/10/06;1009
909183;1;08/11/06;3000
542982;1;16/06/07;2046
968522;1;23/05/07;2074
291293;1;01/11/71;4021
193412;1;20/07/72;2036
49675;1;11/05/74;2090
991610;1;01/08/73;1004
198983;1;03/02/03;2013
1015343;1;11/12/02;2000
1376088;1;12/09/02;
1368080;1;03/01/03;1091
517462;1;16/12/81;1004
215769;1;15/12/81;2033
1036232;1;31/03/82;2080
1302345;1;08/04/82;1009
1043516;1;02/12/81;2094
78509;1;15/09/89;4000
1001152;1;18/09/89;2037
1015974;1;30/06/89;2080
1317905;1;29/11/88;1004
1019117;1;24/09/88;2013
884425;1;13/09/89;2096
896323;1;20/09/89;1006
900870;1;01/02/89;1055
1228304;1;11/08/05;2070
1019293;1;02/02/05;2013
408693;1;03/07/80;1000
1092524;1;03/07/80;1091
35192;1;15/01/79;2080
361733;1;22/01/79;2054
247350;1;23/08/79;2070
945229;1;20/11/71;7000
163796;1;02/07/80;3000
1001897;1;05/01/02;2065
304102;1;02/02/02;2052
223786;1;27/12/01;2041
54473;1;08/02/02;2013
207954;1;05/01/65;2034
1364869;1;18/02/69;2046
528972;1;31/01/09;2080
565823;1;20/09/08;2000
1228402;1;27/02/82;2070
417966;1;08/12/82;2054
950636;1;01/03/82;6100
308343;1;31/01/83;2037
160609;1;26/06/82;1003
945662;1;02/09/00;2083
524054;1;22/01/01;2043
689653;1;29/01/01;2041
138735;2;20/10/59;2084
209164;1;08/05/69;2016
501671;1;10/05/79;2010
941558;1;23/10/81;4071
900552;1;07/06/71;5000
35386;1;17/08/84;2082
882744;1;22/09/77;2074
206588;1;08/01/85;1110
287805;1;22/05/84;3000
35123;1;13/10/82;3000
1103939;1;14/10/83;3002
44854;1;28/03/85;0
148239;1;22/10/82;3000
57803;1;09/12/88;1142
892810;1;06/10/88;2014
1219331;1;05/10/88;2092
1221037;1;31/05/89;1000
174603;1;26/01/90;1004
542709;1;20/08/74;4060
55930;1;25/08/71;
392677;1;15/08/74;5111
534189;1;07/12/74;2080
392348;1;07/01/74;2045
1069406;1;05/12/73;2050
886865;1;28/08/74;2036
195502;1;27/01/09;3074
293859;1;21/10/10;3000
381343;1;21/06/08;
338411;1;27/04/06;3021
147155;1;04/01/07;3000
1165089;1;28/07/08;3000
412480;1;20/09/02;3000
956192;1;27/08/97;3000
827353;1;28/03/13;3002
1065407;1;27/09/84;1000
384208;1;23/10/81;4000
1008544;1;26/10/81;5022
1294418;1;23/07/81;3029
875302;1;11/08/81;5100
384985;1;30/10/81;2037
1296657;1;19/06/84;2045
343133;1;29/06/84;2085
885771;1;28/06/84;2021
390385;1;23/11/83;2010
45157;1;09/02/84;1009
1099126;1;19/01/84;
1083458;1;02/07/88;
49611;1;18/03/89;1009
1329891;1;20/11/73;2011
30007;1;23/05/77;1005
1001281;1;11/08/76;1053
955216;1;28/06/80;2034
1000838;1;28/06/80;2034
885717;1;09/06/80;3022
999373;1;23/02/81;3100
1320416;1;05/11/84;1055
880118;1;16/10/84;1003
1065619;1;05/01/85;1000
1233281;1;05/06/99;2010
1032150;1;04/03/96;2000
1030317;1;08/04/02;2053
407752;1;10/09/99;1000
271344;1;28/08/02;2041
964977;1;28/08/02;1006
34973;1;18/06/02;3100
879474;1;29/04/83;2016
478905;1;06/10/83;2090
174132;1;08/08/98;2034
1100194;1;01/02/99;1000
121361;1;19/11/98;1142
906219;1;05/05/99;2034
229679;1;16/02/99;2051
599841;1;16/02/99;2087
174356;1;21/05/75;3000
1074238;1;08/02/77;5080
253879;1;09/02/88;2052
214362;1;07/01/02;1145
1084899;1;15/07/98;
169913;1;27/02/02;2010
872474;1;15/02/88;2074
66014;1;12/03/01;1000
889933;1;12/03/01;1000
1370694;1;18/12/01;2010
377276;1;21/01/88;1000
694120;1;09/11/87;1005
1301824;1;28/01/88;8110
275032;1;13/04/89;1082
54687;1;31/10/15;2000
71658;1;21/09/15;1000
1037679;1;19/06/96;2016
208830;1;09/08/00;2083
1071639;1;19/08/96;1006
29532;1;18/06/96;2045
249907;1;07/08/72;5020
333747;1;26/05/69;1082
896488;3;11/08/75;2070
954204;1;08/05/75;8050
1104278;1;04/03/78;3000
346933;1;24/11/80;2045
945756;1;27/04/84;5042
1071755;1;23/02/84;1001
42570;1;06/06/83;1110
157993;1;24/12/84;5020
1103501;1;29/06/84;1000
401013;1;12/12/83;5034
653799;1;01/02/82;2040
1016339;1;25/01/82;2090
66515;1;15/02/82;2013
1286750;1;29/06/82;2050
30237;1;13/12/02;2087
1525459;0;23/01/03;NULL
1045760;1;14/05/02;1005
289699;1;13/06/95;3012
287734;1;08/03/97;4000
401568;1;16/11/79;2013
173449;1;08/10/79;2001
1002962;1;24/12/79;6000
906011;1;21/02/79;4180
987366;1;14/06/03;2073
227269;1;29/08/02;1008
502361;1;31/12/02;1006
71928;1;30/12/02;6120
1300533;1;29/12/72;3022
1098724;1;19/06/82;2092
1316838;1;04/09/81;2092
223339;1;29/10/09;3000
250442;1;12/06/10;3020
73343;1;15/07/10;1001
43127;1;07/09/95;2052
1047202;1;18/04/96;2036
1075276;1;25/01/00;2000
909059;1;15/03/00;1000
1026595;1;13/09/00;2000
946894;1;15/02/97;2074
345427;1;03/02/03;0
402643;1;07/06/03;1009
1032780;1;23/11/02;2000
33617;1;22/09/81;8011
50874;1;27/11/81;2052
528976;1;11/11/81;2011
487292;1;05/06/09;2062
348236;1;16/06/09;2086
954646;1;16/06/09;2070
392899;1;02/05/09;2009
980144;1;04/02/77;2013
1316917;1;02/04/86;2000
1382294;1;13/02/12;
1035696;1;26/06/12;1001
345324;1;13/12/11;1095
1320560;1;25/06/91;3081
426881;1;08/07/91;3000
150496;1;18/12/78;8000
877017;1;30/10/75;2037
522220;1;08/02/63;2092
145556;1;03/10/02;2013
32278;1;05/11/02;2041
1089404;1;19/06/02;2051
1043814;1;21/03/86;2000
153798;1;12/06/86;1000
1037334;1;01/10/85;1000
864367;1;04/09/85;2051
55193;1;26/03/92;2010
1098975;1;23/05/92;2000
976178;1;26/12/79;8060
62277;1;31/05/79;8012
180110;1;02/04/71;1013
945026;1;03/07/73;2097
51361;1;08/12/70;3000
975936;1;28/11/79;8000
513665;1;16/08/80;2000
1336149;1;11/09/80;2041
1097834;1;28/12/88;1009
1057356;1;25/01/88;2025
900793;1;04/02/88;2097
341799;1;08/11/88;2082
400894;1;15/10/02;2051
781227;1;13/12/03;2078
389931;1;11/04/79;3000
872666;1;08/02/79;3011
427155;1;27/03/79;2080
1050191;1;26/02/79;2087
1292271;1;27/01/82;7032
904167;1;05/06/78;4011
887707;1;24/07/73;4000
425442;1;10/05/80;8090
1230457;1;01/10/81;2000
891033;1;06/03/75;2060
1417909;1;20/10/81;2070
211992;1;17/09/85;1000
35066;1;02/01/84;1130
891018;1;12/11/63;2013
174385;1;05/10/78;5070
1112459;1;10/10/78;5140
878560;1;30/12/77;2094
163109;1;18/05/78;3096
441297;1;22/03/79;3000
166576;1;22/04/78;2000
198936;1;01/02/78;5110
157970;1;27/05/78;3000
206843;1;09/10/54;2096
1092752;1;23/01/59;3000
210979;1;04/02/58;2036
185734;1;29/05/81;3002
