classeBonusMalus;puissanceFiscal;typeImmatriculation;energie;etatVehicule;Marque;Usage;typeIntermediaire;naturePolice;typePolice;Etat_Police;Nombre_Sinistre
3;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;6.0;TU;GASOIL;V;Groupe  PSA;Transport public;1;R;I;R;0
2;6.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
2;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
4;4.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
5;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
2;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
5;10.0;TU;GASOIL;V;Groupe  HYUNDAI-KIA;Transport public;0;R;I;R;0
1;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
4;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
6;5.0;TU;ESSENCE;V;Groupe  General Motors ;Transport public;0;R;I;R;0
3;5.0;TU;ESSENCE;V;Groupe  Toyota;Transport public;0;R;I;V;0
3;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;V;0
5;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
5;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;V;1
1;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;V;0
2;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
1;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
3;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
2;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;1
3;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
4;6.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
5;5.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;1
3;5.0;TU;ESS-GAZ GPL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;T;I;V;0
3;5.0;TU;ESS-GAZ GPL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;T;I;V;0
2;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
2;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
1;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
7;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
3;10.0;TU;GASOIL;V;Groupe  Toyota;Transport public;0;R;I;R;0
3;6.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;1
1;6.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;5.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
3;7.0;TU;GASOIL;V;Groupe Fca;Transport public;0;R;I;R;1
2;4.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
4;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;1
4;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;2
2;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;1
1;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
4;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;1
7;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
3;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
5;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;2
4;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;1
1;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
5;5.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;1;R;I;V;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
4;7.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
2;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
3;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;T;I;V;0
7;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;2
7;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
2;4.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
2;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
5;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
6;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;V;0
5;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
3;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
4;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
2;6.0;TU;ESS-GAZ GPL;V;Groupe  PSA;Transport public;0;R;I;V;0
5;4.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
3;9.0;TU;GASOIL;V;Groupe Japan-Corea-china;Transport public;0;R;I;R;1
5;8.0;TU;GASOIL;V;Groupe  Toyota;Transport public;0;R;I;R;0
2;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
7;6.0;TU;ESS-GAZ GPL;V;Groupe  HYUNDAI-KIA;Transport public;0;R;I;R;1
7;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;1;R;I;R;1
6;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;2
4;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;V;0
5;6.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;7.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
3;6.0;TU;ESSENCE;V;Groupe  HYUNDAI-KIA;Transport public;0;R;I;R;0
1;5.0;TU;ESS-GAZ GPL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
5;5.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;5.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
5;6.0;TU;ESS-GAZ GPL;V;Groupe  HYUNDAI-KIA;Transport public;0;R;I;R;0
3;10.0;TU;GASOIL;V;Groupe  Toyota;Transport public;0;R;I;R;0
2;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;V;0
6;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;1
1;6.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
3;6.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;V;1
2;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;1
3;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
5;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;1
1;5.0;TU;ESS-GAZ GPL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;6.0;TU;ESS-GAZ GPL;V;Groupe  HYUNDAI-KIA;Transport public;0;R;I;R;0
1;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;V;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
2;6.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;4.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
6;4.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;V;0
4;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;1
5;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
3;5.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
2;4.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
4;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
1;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;V;0
1;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
3;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;2
2;6.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;1
5;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe  PSA;Transport public;0;R;I;R;0
4;5.0;TU;ESSENCE;V;Groupe Fca;Transport public;0;R;I;R;0
2;5.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;1
1;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;10.0;TU;GASOIL;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;R;0
1;5.0;TU;ESSENCE;V;Groupe  RENAULT-NISSAN-MITSUBISHI ;Transport public;0;R;I;V;0
1;5.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
4;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
3;8.0;TU;GASOIL;V;Groupe  Toyota;Transport public;0;R;I;V;0
3;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;R;0
1;4.0;TU;GASOIL;V;Groupe VOLKSWAGEN;Transport public;0;R;I;V;0
